date,triplet,head,relation,tail,sentence
2022-01-31,"{'head': 'EstimatedAveragePrice', 'relation': 'Equal', 'tail': '$1012.35'}",EstimatedAveragePrice,Equal,$1012.35,EstimatedAveragePrice Equal $1012.35
2022-01-31,"{'head': 'Greenville', 'relation': 'Based', 'tail': 'Current Portfolio'}",Greenville,Based,Current Portfolio,Greenville Based Current Portfolio
2022-01-31,"{'head': 'Current Portfolio', 'relation': 'Sells', 'tail': 'Tesla, Inc.'}",Current Portfolio,Sells,"Tesla, Inc.","Current Portfolio Sells Tesla, Inc."
2022-02-01,"{'head': 'BYD Company Limited', 'relation': 'is catching up rapidly with', 'tail': 'Tesla, Inc.'}",BYD Company Limited,is catching up rapidly with,"Tesla, Inc.","BYD Company Limited is catching up rapidly with Tesla, Inc."
2022-02-01,"{'head': 'Elon Musk', 'relation': 'offered', 'tail': 'Jack Sweeney $5,000 to stop his tracking activity.'}",Elon Musk,offered,"Jack Sweeney $5,000 to stop his tracking activity.","Elon Musk offered Jack Sweeney $5,000 to stop his tracking activity."
2022-02-01,"{'head': 'President Joe Biden', 'relation': 'did not acknowledge', 'tail': 'Tesla.'}",President Joe Biden,did not acknowledge,Tesla.,President Joe Biden did not acknowledge Tesla.
2022-02-01,"{'head': 'Tesla', 'relation': 'is recalling nearly 54,000 vehicles', 'tail': 'because their “Full Self-Driving” software lets them roll through stop signs without coming to a complete halt.'}",Tesla,"is recalling nearly 54,000 vehicles",because their “Full Self-Driving” software lets them roll through stop signs without coming to a complete halt.,"Tesla is recalling nearly 54,000 vehicles because their “Full Self-Driving” software lets them roll through stop signs without coming to a complete halt."
2022-02-01,"{'head': ""Tesla's “Full Self-Driving” software"", 'relation': 'lets vehicles', 'tail': 'roll through stop signs without coming to a complete halt.'}",Tesla's “Full Self-Driving” software,lets vehicles,roll through stop signs without coming to a complete halt.,Tesla's “Full Self-Driving” software lets vehicles roll through stop signs without coming to a complete halt.
2022-02-02,"{'head': 'Elon Musk', 'relation': 'accused of', 'tail': 'fraud'}",Elon Musk,accused of,fraud,Elon Musk accused of fraud
2022-02-02,"{'head': 'Elon Musk', 'relation': 'claims', 'tail': 'SEC’s complaint is uncertain'}",Elon Musk,claims,SEC’s complaint is uncertain,Elon Musk claims SEC’s complaint is uncertain
2022-02-02,"{'head': 'Elon Musk', 'relation': 'paid', 'tail': '$40 million in penalties'}",Elon Musk,paid,$40 million in penalties,Elon Musk paid $40 million in penalties
2022-02-02,"{'head': 'Elon Musk', 'relation': 'received', 'tail': 'a class action lawsuit'}",Elon Musk,received,a class action lawsuit,Elon Musk received a class action lawsuit
2022-02-02,"{'head': ""Tesla's stock"", 'relation': 'affected by', 'tail': ""Elon Musk's tweets""}",Tesla's stock,affected by,Elon Musk's tweets,Tesla's stock affected by Elon Musk's tweets
2022-02-03,"{'head': 'Tesla Inc', 'relation': 'stock now traded at', 'tail': '$891.140000'}",Tesla Inc,stock now traded at,$891.140000,Tesla Inc stock now traded at $891.140000
2022-02-03,"{'head': 'Tesla Inc', 'relation': 'lower than estimated average purchase price', 'tail': '$1012.35'}",Tesla Inc,lower than estimated average purchase price,$1012.35,Tesla Inc lower than estimated average purchase price $1012.35
2022-02-03,"{'head': 'Palisades Hudson Asset Management, L.P.', 'relation': 'purchased Tesla Inc stock', 'tail': 'between $780.59 and $1229.91'}","Palisades Hudson Asset Management, L.P.",purchased Tesla Inc stock,between $780.59 and $1229.91,"Palisades Hudson Asset Management, L.P. purchased Tesla Inc stock between $780.59 and $1229.91"
2022-02-03,"{'head': 'Tesla Inc', 'relation': 'number of shares held by Palisades Hudson Asset Management, L.P.', 'tail': '339 shares'}",Tesla Inc,"number of shares held by Palisades Hudson Asset Management, L.P.",339 shares,"Tesla Inc number of shares held by Palisades Hudson Asset Management, L.P. 339 shares"
2022-02-03,"{'head': 'Tesla Inc', 'relation': 'impact to a portfolio due to purchase by Palisades Hudson Asset Management, L.P.', 'tail': '0.16%'}",Tesla Inc,"impact to a portfolio due to purchase by Palisades Hudson Asset Management, L.P.",0.16%,"Tesla Inc impact to a portfolio due to purchase by Palisades Hudson Asset Management, L.P. 0.16%"
2022-02-04,error: news blocked,-,-,-,
2022-02-05,error: news blocked,-,-,-,
2022-02-06,"{'head': 'Tesla', 'relation': 'has CEO', 'tail': 'Elon Musk'}",Tesla,has CEO,Elon Musk,Tesla has CEO Elon Musk
2022-02-06,"{'head': 'Tesla', 'relation': 'involved in legal battle', 'tail': 'SEC'}",Tesla,involved in legal battle,SEC,Tesla involved in legal battle SEC
2022-02-06,"{'head': 'Tesla', 'relation': 'has offtake agreement', 'tail': 'Vidalia'}",Tesla,has offtake agreement,Vidalia,Tesla has offtake agreement Vidalia
2022-02-06,"{'head': 'Vidalia', 'relation': 'will supply', 'tail': 'Tesla'}",Vidalia,will supply,Tesla,Vidalia will supply Tesla
2022-02-06,"{'head': 'Tesla', 'relation': 'has option to offtake', 'tail': 'Vidalia'}",Tesla,has option to offtake,Vidalia,Tesla has option to offtake Vidalia
2022-02-07,"{'head': 'KPMG Canada', 'relation': 'added', 'tail': 'Bitcoin (BTC) to its balance sheet.'}",KPMG Canada,added,Bitcoin (BTC) to its balance sheet.,KPMG Canada added Bitcoin (BTC) to its balance sheet.
2022-02-07,"{'head': 'Tesla Inc.', 'relation': 'held', 'tail': 'almost $2 billion in Bitcoin at the end of 2021.'}",Tesla Inc.,held,almost $2 billion in Bitcoin at the end of 2021.,Tesla Inc. held almost $2 billion in Bitcoin at the end of 2021.
2022-02-07,"{'head': 'Tesla Inc.', 'relation': 'maintains', 'tail': ""its BTC holdings amidst declines in Bitcoin's price.""}",Tesla Inc.,maintains,its BTC holdings amidst declines in Bitcoin's price.,Tesla Inc. maintains its BTC holdings amidst declines in Bitcoin's price.
2022-02-07,"{'head': 'Josh Olszewicz', 'relation': 'believes', 'tail': 'cryptocurrencies are making progress.'}",Josh Olszewicz,believes,cryptocurrencies are making progress.,Josh Olszewicz believes cryptocurrencies are making progress.
2022-02-07,"{'head': 'Elon Musk', 'relation': 'remains', 'tail': 'wealthier than Jeff Bezos.'}",Elon Musk,remains,wealthier than Jeff Bezos.,Elon Musk remains wealthier than Jeff Bezos.
2022-02-08,"{'head': 'Tesla Inc', 'relation': 'increased its share holding', 'tail': 'by 26.38%'}",Tesla Inc,increased its share holding,by 26.38%,Tesla Inc increased its share holding by 26.38%
2022-02-08,"{'head': 'ARS Wealth Advisors Group, LLC', 'relation': 'purchased Tesla shares', 'tail': 'between $780.59 and $1229.91'}","ARS Wealth Advisors Group, LLC",purchased Tesla shares,between $780.59 and $1229.91,"ARS Wealth Advisors Group, LLC purchased Tesla shares between $780.59 and $1229.91"
2022-02-08,"{'head': 'Todays Research Daily', 'relation': 'features new research reports', 'tail': 'on 16 major stocks, including Tesla, Inc.'}",Todays Research Daily,features new research reports,"on 16 major stocks, including Tesla, Inc.","Todays Research Daily features new research reports on 16 major stocks, including Tesla, Inc."
2022-02-08,"{'head': ""Tesla's stock"", 'relation': 'gained +27.2%', 'tail': 'in the last six months'}",Tesla's stock,gained +27.2%,in the last six months,Tesla's stock gained +27.2% in the last six months
2022-02-08,"{'head': 'Zacks analyst', 'relation': 'believes that robust demand for Models 3 and Y', 'tail': ""has been buoying Tesla's revenues""}",Zacks analyst,believes that robust demand for Models 3 and Y,has been buoying Tesla's revenues,Zacks analyst believes that robust demand for Models 3 and Y has been buoying Tesla's revenues
2022-02-09,"{'head': 'Tesla', 'relation': 'stock price increased', 'tail': 'after entering S&P 500'}",Tesla,stock price increased,after entering S&P 500,Tesla stock price increased after entering S&P 500
2022-02-09,"{'head': 'Tesla', 'relation': 'plans to produce', 'tail': '1.5 million vehicles this year'}",Tesla,plans to produce,1.5 million vehicles this year,Tesla plans to produce 1.5 million vehicles this year
2022-02-09,"{'head': 'Elon Musk', 'relation': 'not invited to discuss', 'tail': 'Build Back Better legislation'}",Elon Musk,not invited to discuss,Build Back Better legislation,Elon Musk not invited to discuss Build Back Better legislation
2022-02-09,"{'head': 'Ford and General Motors', 'relation': 'recycle iconic cars', 'tail': 'to catch up with Tesla'}",Ford and General Motors,recycle iconic cars,to catch up with Tesla,Ford and General Motors recycle iconic cars to catch up with Tesla
2022-02-09,"{'head': 'Tesla', 'relation': 'ongoing issue', 'tail': ""with regulators regarding CEO's tweet""}",Tesla,ongoing issue,with regulators regarding CEO's tweet,Tesla ongoing issue with regulators regarding CEO's tweet
2022-02-10,"{'head': 'Tesla', 'relation': 'has delayed the market arrival', 'tail': 'of one of its most anticipated vehicles'}",Tesla,has delayed the market arrival,of one of its most anticipated vehicles,Tesla has delayed the market arrival of one of its most anticipated vehicles
2022-02-10,"{'head': 'College student', 'relation': 'created an Elon Musk-tracking account', 'tail': 'and may soon own a Tesla Model 3'}",College student,created an Elon Musk-tracking account,and may soon own a Tesla Model 3,College student created an Elon Musk-tracking account and may soon own a Tesla Model 3
2022-02-10,"{'head': 'Elon Musk', 'relation': 'offered $5K to the college student', 'tail': 'which was found insulting'}",Elon Musk,offered $5K to the college student,which was found insulting,Elon Musk offered $5K to the college student which was found insulting
2022-02-10,"{'head': 'Meme coin community', 'relation': 'offered a Tesla Model 3 to the college student', 'tail': 'if their market cap reaches $10 million'}",Meme coin community,offered a Tesla Model 3 to the college student,if their market cap reaches $10 million,Meme coin community offered a Tesla Model 3 to the college student if their market cap reaches $10 million
2022-02-10,"{'head': 'Elon Musk', 'relation': 'refused to compromise', 'tail': 'with the college student'}",Elon Musk,refused to compromise,with the college student,Elon Musk refused to compromise with the college student
2022-02-11,"{'head': 'Tesla', 'relation': 'is facing competition from', 'tail': 'Rivian'}",Tesla,is facing competition from,Rivian,Tesla is facing competition from Rivian
2022-02-11,"{'head': 'Rivian', 'relation': 'has fallen short of production targets due to supply chain constraints', 'tail': '1,200 vehicles'}",Rivian,has fallen short of production targets due to supply chain constraints,"1,200 vehicles","Rivian has fallen short of production targets due to supply chain constraints 1,200 vehicles"
2022-02-11,"{'head': 'Rivian shares', 'relation': 'have fallen', 'tail': '9% in the last year'}",Rivian shares,have fallen,9% in the last year,Rivian shares have fallen 9% in the last year
2022-02-11,"{'head': 'Elon Musk', 'relation': 'has criticized by Senator Sanders', 'tail': 'for his tax practices'}",Elon Musk,has criticized by Senator Sanders,for his tax practices,Elon Musk has criticized by Senator Sanders for his tax practices
2022-02-11,"{'head': 'Analyst', 'relation': ""has reduced Tesla's price target due to Rivian's announcement"", 'tail': 'Morgan Stanley'}",Analyst,has reduced Tesla's price target due to Rivian's announcement,Morgan Stanley,Analyst has reduced Tesla's price target due to Rivian's announcement Morgan Stanley
2022-02-12,"{'head': 'SpaceX', 'relation': 'plans to receive approval', 'tail': 'from the Federal Aviation Administration in March'}",SpaceX,plans to receive approval,from the Federal Aviation Administration in March,SpaceX plans to receive approval from the Federal Aviation Administration in March
2022-02-12,"{'head': 'Cathie Wood', 'relation': 'has Tesla as a top stock', 'tail': 'in her portfolio'}",Cathie Wood,has Tesla as a top stock,in her portfolio,Cathie Wood has Tesla as a top stock in her portfolio
2022-02-12,"{'head': 'Cathie Wood', 'relation': 'has Twitter as a top stock', 'tail': 'in her portfolio'}",Cathie Wood,has Twitter as a top stock,in her portfolio,Cathie Wood has Twitter as a top stock in her portfolio
2022-02-12,"{'head': 'Cathie Wood', 'relation': 'has Spotify as a top stock', 'tail': 'in her portfolio'}",Cathie Wood,has Spotify as a top stock,in her portfolio,Cathie Wood has Spotify as a top stock in her portfolio
2022-02-12,"{'head': 'Tesla', 'relation': 'received a loan from the government', 'tail': 'in its early days'}",Tesla,received a loan from the government,in its early days,Tesla received a loan from the government in its early days
2022-02-13,"{'head': 'Tesla', 'relation': 'lost', 'tail': '4.93%'}",Tesla,lost,4.93%,Tesla lost 4.93%
2022-02-13,"{'head': 'Consumer discretionary', 'relation': 'declined', 'tail': '2.82%'}",Consumer discretionary,declined,2.82%,Consumer discretionary declined 2.82%
2022-02-13,"{'head': 'Communication services', 'relation': 'declined', 'tail': '2.54%'}",Communication services,declined,2.54%,Communication services declined 2.54%
2022-02-13,"{'head': '10-year US yield', 'relation': 'tumbled', 'tail': '1.94%'}",10-year US yield,tumbled,1.94%,10-year US yield tumbled 1.94%
2022-02-13,"{'head': 'Tesla', 'relation': 'exports', 'tail': 'China'}",Tesla,exports,China,Tesla exports China
2022-02-14,"{'head': 'Tiger Management Current Portfolio', 'relation': 'sells', 'tail': 'Tesla, Inc'}",Tiger Management Current Portfolio,sells,"Tesla, Inc","Tiger Management Current Portfolio sells Tesla, Inc"
2022-02-14,"{'head': 'Tesla', 'relation': 'produced', 'tail': 'nearly a million electric vehicles worldwide in 2021'}",Tesla,produced,nearly a million electric vehicles worldwide in 2021,Tesla produced nearly a million electric vehicles worldwide in 2021
2022-02-14,"{'head': 'Tesla', 'relation': 'to start production', 'tail': 'at its Texas site in Austin'}",Tesla,to start production,at its Texas site in Austin,Tesla to start production at its Texas site in Austin
2022-02-14,"{'head': 'Tesla', 'relation': 'advanced', 'tail': '1.8% after Chinese auto industry authorities announced the electric car maker sold nearly 60,000 China-made vehicles in January'}",Tesla,advanced,"1.8% after Chinese auto industry authorities announced the electric car maker sold nearly 60,000 China-made vehicles in January","Tesla advanced 1.8% after Chinese auto industry authorities announced the electric car maker sold nearly 60,000 China-made vehicles in January"
2022-02-14,"{'head': 'Pfizer Inc', 'relation': 'acquired', 'tail': 'the overseas marketing rights to the drug rimegepant'}",Pfizer Inc,acquired,the overseas marketing rights to the drug rimegepant,Pfizer Inc acquired the overseas marketing rights to the drug rimegepant
